0.528,0.554
0.526,0.554
0.524,0.553
0.521,0.552
0.519,0.551
0.516,0.55
0.514,0.549
0.511,0.548
0.509,0.547
0.506,0.546
0.504,0.545
0.501,0.544
0.499,0.543
0.496,0.542
0.494,0.541
0.491,0.54
0.489,0.539
0.487,0.539
0.484,0.538
0.482,0.537
0.48,0.536
0.477,0.535
0.475,0.534
0.473,0.534
0.47,0.533
0.468,0.532
0.466,0.531
0.463,0.53
0.461,0.53
0.459,0.529
0.457,0.528
0.454,0.527
0.452,0.527
0.45,0.526
0.448,0.525
0.445,0.525
0.443,0.524
0.441,0.523
0.439,0.523
0.437,0.522
0.435,0.521
0.432,0.521
0.43,0.52
0.428,0.519
0.426,0.519
0.424,0.518
0.422,0.518
0.42,0.517
0.418,0.516
0.415,0.516
0.413,0.515
0.411,0.515
0.409,0.514
0.407,0.513
0.405,0.513
0.403,0.512
0.401,0.512
0.399,0.511
0.397,0.511
0.395,0.51
0.393,0.51
0.391,0.509
0.389,0.509
0.387,0.508
0.385,0.507
0.383,0.507
0.381,0.506
0.379,0.506
0.377,0.506
0.375,0.505
0.373,0.505
0.371,0.504
0.369,0.504
0.367,0.503
0.365,0.503
0.364,0.502
0.362,0.502
0.36,0.501
0.358,0.501
0.356,0.5
0.354,0.5
0.352,0.5
0.35,0.499
0.348,0.499
0.346,0.498
0.345,0.498
0.343,0.497
0.341,0.497
0.339,0.497
0.337,0.496
0.335,0.496
0.334,0.495
0.332,0.495
0.33,0.495
0.328,0.494
0.326,0.494
0.324,0.494
0.323,0.493
0.321,0.493
0.319,0.492
0.317,0.492
0.315,0.492
0.314,0.491
0.312,0.491
0.31,0.491
0.308,0.49
0.306,0.49
0.305,0.49
0.303,0.489
0.301,0.489
0.299,0.489
0.298,0.488
0.296,0.488
0.294,0.488
0.292,0.487
0.291,0.487
0.289,0.487
0.287,0.486
0.286,0.486
0.284,0.486
0.282,0.486
0.28,0.485
0.279,0.485
0.277,0.485
0.275,0.484
0.274,0.484
0.272,0.484
0.27,0.484
0.268,0.483
0.267,0.483
0.265,0.483
0.263,0.482
0.262,0.482
0.26,0.482
0.258,0.482
0.257,0.481
0.255,0.481
0.253,0.481
0.252,0.481
0.25,0.48
0.248,0.48
0.247,0.48
0.245,0.48
0.243,0.479
0.242,0.479
0.24,0.479
0.238,0.479
0.237,0.478
0.235,0.478
0.234,0.478
0.232,0.478
0.23,0.478
0.229,0.477
0.227,0.477
0.225,0.477
0.224,0.477
0.222,0.476
0.221,0.476
0.219,0.476
0.217,0.476
0.216,0.476
0.214,0.475
0.213,0.475
0.211,0.475
0.209,0.475
0.208,0.475
0.206,0.474
0.205,0.474
0.203,0.474
0.201,0.474
0.2,0.474
0.198,0.473
0.197,0.473
0.195,0.473
0.193,0.473
0.192,0.473
0.19,0.473
0.189,0.472
0.187,0.472
0.186,0.472
0.184,0.472
0.182,0.472
0.181,0.472
0.179,0.471
0.178,0.471
0.176,0.471
0.175,0.471
0.173,0.471
0.172,0.471
0.17,0.47
0.168,0.47
0.167,0.47
0.165,0.47
0.164,0.47
0.162,0.47
0.161,0.469
0.159,0.469
0.158,0.469
0.156,0.469
0.155,0.469
0.153,0.469
0.152,0.469
0.15,0.469
0.148,0.468
0.147,0.468
0.145,0.468
0.144,0.468
0.142,0.468
0.141,0.468
0.139,0.468
0.138,0.468
0.136,0.467
0.135,0.467
0.133,0.467
0.132,0.467
0.13,0.467
0.129,0.467
0.127,0.467
0.126,0.467
0.124,0.466
0.123,0.466
0.121,0.466
0.12,0.466
0.118,0.466
0.117,0.466
0.115,0.466
0.114,0.466
0.112,0.466
0.111,0.466
0.109,0.465
0.108,0.465
0.106,0.465
0.105,0.465
0.103,0.465
0.102,0.465
0.1,0.465
0.099,0.465
0.097,0.465
0.096,0.465
0.094,0.465
0.093,0.465
0.091,0.464
0.09,0.464
0.088,0.464
0.087,0.464
0.085,0.464
0.084,0.464
0.082,0.464
0.081,0.464
0.079,0.464
0.078,0.464
0.076,0.464
0.075,0.464
0.073,0.464
0.072,0.464
0.07,0.463
0.069,0.463
0.067,0.463
0.066,0.463
0.065,0.463
0.063,0.463
0.062,0.463
0.06,0.463
0.059,0.463
0.057,0.463
0.056,0.463
0.054,0.463
0.053,0.463
0.051,0.463
0.05,0.463
0.048,0.463
0.047,0.463
0.045,0.463
0.044,0.463
0.042,0.463
0.041,0.463
0.04,0.464
0.038,0.466
0.037,0.469
0.035,0.471
0.034,0.474
0.032,0.477
0.031,0.48
0.029,0.483
0.028,0.486
0.026,0.49
0.025,0.494
0.023,0.498
0.022,0.503
0.02,0.508
0.019,0.514
0.018,0.52
0.016,0.527
0.015,0.535
0.013,0.543
0.012,0.554
0.01,0.566
0.009,0.58
0.007,0.599
0.006,0.622
0.004,0.656
0.003,0.709
0.002,0.815
